,FECHA DE ELABORACIÓN,18/09/2025,   
,PRODUCCIÓN DE FECHA DE FAENA,17/09/2025,
,CABEZAS FAENADAS,509,
Tropas: 17819/28347/28348/28349/28350/31640/31641/31642/32175/32176/32177/32178/38281,,,
38282/45720/45721/53265/55719/64040,,,
CÓDIGO PRODUCTO,DESCRIPCION,CAJAS,KG. NETO
FBMCFR110,CHINCHULIN,11,87.211
IBMCF3039,RECORTES DE LENGUA,5,90
IBMCF3090,PULMON,67,871
IBMCF3161,CUAJO NATURAL SEMICOCIDO,17,272
IBMCF3180,GA\A5OTE,14,196
IBMCF3230,TRONCO DE LENGUA,8,160
IBMCFC020,CORAZON,19,228
IBMCFC221,CARNE CHICA,8,96
IBMCFE010,HIGADO,26,260
IBMCFE030,LENGUA CORTE SUIZO,28,330.4
IBMCFE041,LABIO,20,200
IBMCFE042,CARNE DE CABEZA,12,144
IBMCFE043,NUEZ DE QUIJADA,34,408
IBMCFE050,SESO,1,12.1
IBMCFE060,CENTRO DE ENTRA\A5A,9,108
IBMCFE070,RABO,49,490
IBMCFE081,RI\A5ON,24,240
IBMCFE100,TRIPA GORDA,22,220
IBMCFE140,SANGRIA,38,380
IBMCFE141,CARNE CHICA,14,140
IBMCFE210,MONDONGO VERDE CRUDO,310,3100
IBMCFE300,AORTA,4,48
IBMCFE310,TENDON,37,444
IBMCFE320,VINZA,5,60
IBMCFE340,MEDULA ESPINAL,6,60
IBMCFE370,TRIPA ORILLA,20,200
IBMCFE371,TRIPA ORILLA,67,670
IBMCFE410,MEMBRANA,3,36
IBMCHE010,HIGADO,59,647.8
IBMCPE170,LIBRILLO SEMICOCIDO BLANQUEADO,19,190
IBMCPE171,LIBRILLO NATURAL SEMI COCIDO,25,250
IBMCPE179,RECORTE DE LIBRILLO NATURAL SEMI COCIDO,4,72
IBMCPE202,BONETE SEMI COCIDO,16,160
,,1001,10870.51
